date,eq_long,eq_A,eq_Btilt,eq_shortAll,eq_bench
2025-07-29,1.1789,0.8367,1.0335,0.6321,1.2043
2025-08-12,1.1868,0.8092,1.0254,0.6071,1.2255
2025-08-26,1.1974,0.8243,1.0344,0.6130,1.2186
2025-09-10,1.2226,0.8371,1.0482,0.6097,1.2274
2025-09-24,1.2494,0.8483,1.0601,0.6045,1.2419
2025-10-08,1.2224,0.8264,1.0401,0.6019,1.2352
2025-10-22,1.2139,0.8367,1.0401,0.6136,1.2168
2025-11-05,1.1936,0.8477,1.0390,0.6320,1.1972
2025-11-19,1.2302,0.8192,1.0393,0.5913,1.2445
2025-12-04,1.2432,0.8344,1.0493,0.5960,1.2471
2025-12-18,1.2697,0.8369,1.0584,0.5851,1.2668
2026-01-05,1.2935,0.8634,1.0750,0.5927,1.2746
2026-01-20,1.3352,0.9157,1.1044,0.6094,1.2873
2026-02-03,1.3888,0.9629,1.1350,0.6164,1.3157
2026-02-18,1.3711,0.9249,1.1203,0.6000,1.3127
2026-03-04,1.3177,0.9390,1.1112,0.6324,1.2475
2026-03-18,1.3005,0.9143,1.1009,0.6241,1.2467
2026-04-01,1.3604,0.9135,1.1217,0.5948,1.2997
2026-04-16,1.4124,0.9550,1.1561,0.5991,1.3137
2026-04-30,1.4955,1.0349,1.2098,0.6140,1.3096
2026-05-14,1.5375,1.0143,1.2184,0.5845,1.3399
2026-05-29,1.5343,1.0053,1.2089,0.5805,1.3575
2026-06-12,1.5685,1.0407,1.2289,0.5880,1.3661
2026-06-29,1.5128,0.9618,1.1844,0.5643,1.3734
