,total_pct,CAGR_pct,ann_vol_pct,sharpe,MDD_pct,days
오라클 매크로단독(base),1114.0,29.1,12.5,2.22,-12.0,2335.0
매크로+2W리버설(logic),2886.0,41.6,19.8,1.95,-29.0,2335.0
