,total_ret,mean_per_regime,std,sharpe_per_regime,hit,MDD,n
매크로LS 전체(필터X),1.602,0.0297,0.0499,0.59,0.68,-0.091,34.0
매크로LS + 2W하위제외(필터O),2.304,0.0373,0.057,0.65,0.74,-0.061,34.0
